Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04217:Necroptosis	10	12.048192771084338	8.261670624388152E-7	Q13555, Q96KK5, P0C0S8, P20671, P21796, Q99878	57	159	8465	9.34017433520909	1.6521983044126554E-4	1.6523341248776306E-4	1.6523341248776306E-4
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	9	10.843373493975903	2.832088236684336E-6	Q96KK5, P0C0S8, P20671, Q99878, P05455	57	137	8465	9.756050710718402	5.662580647678439E-4	2.5376575395988485E-4	2.5376575395988485E-4
KEGG_PATHWAY	hsa04613:Neutrophil extracellular trap formation	10	12.048192771084338	3.8064863093982724E-6	Q96KK5, P0C0S8, P28482, P20671, P21796, Q99878	57	191	8465	7.775328373289244	7.610089964736888E-4	2.5376575395988485E-4	2.5376575395988485E-4
KEGG_PATHWAY	hsa05034:Alcoholism	9	10.843373493975903	2.909349699355211E-5	Q96KK5, P0C0S8, P28482, P20671, Q99878	57	188	8465	7.10946248600224	0.005801887707561737	0.0014546748496776056	0.0014546748496776056
KEGG_PATHWAY	hsa03010:Ribosome	7	8.433734939759036	7.735133578210386E-4	P61927, P62277, P26373, P83881, P36578, P83731, P05387	57	167	8465	6.224918583884861	0.14338142950458388	0.0261285806633416	0.0261285806633416
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	8	9.63855421686747	7.838574199002479E-4	P61927, P62277, P26373, P28482, P83881, P36578, P83731, P05387	57	232	8465	5.120992135511191	0.14515315893837533	0.0261285806633416	0.0261285806633416
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	7	8.433734939759036	0.032239990733597235	P11021, P20073, P07737, O96008, P28072, P21796, P50995	57	364	8465	2.8559379217273952	0.9985759200901342	0.9211425923884925	0.9211425923884925
KEGG_PATHWAY	hsa00970:Aminoacyl-tRNA biosynthesis	3	3.614457831325301	0.07047035262837281	P54577, P49591, Q9Y285	57	66	8465	6.750398724082935	0.9999995505832731	1.0	1.0
KEGG_PATHWAY	hsa00010:Glycolysis / Gluconeogenesis	3	3.614457831325301	0.07233889878380188	P14550, P00558, P11766	57	67	8465	6.649646504320502	0.9999996994828791	1.0	1.0
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	7	8.433734939759036	0.09300476571929328	Q13555, P11021, P28482, O96008, P28072, P05067, P21796	57	476	8465	2.183952528379773	0.9999999966810477	1.0	1.0
