Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_TISSUE	Liver	41	51.24999999999999	1.6392925123960262E-5	Q9Y320, Q9NSY1, Q15836, P45880, O43772, Q96KC8, P11766, P16615, O95772, P11166, Q9NS69, Q8WXW3, Q86UE4, Q9NZ45, P17152, P04062, Q92896, Q02818, Q8NHP8, Q9ULQ1, P98160, P45973, O15118, Q9H6H4, Q07065, Q9UM22, O43169, P11279, Q14739, P49590, Q6PIU2, Q99733, P15586, Q9NXV6, P43307, Q8NBS9, Q00325, Q86XL3, Q9HD45, P07686, P21796	80	5112	18279	1.8325484154929577	0.0014251796411353101	0.0014261844857845428	0.001377005710412662
UP_TISSUE	B-cell	7	8.75	0.0015963057535671663	P43307, O60831, O75844, P45880, Q9NRY6, P11766, P21796	80	290	18279	5.515215517241379	0.1297628906818009	0.06943930028017173	0.06704484164982098
UP_TISSUE	Placenta	26	32.5	0.006644068855395854	Q6NUK4, Q9NRY6, Q14849, P17152, P04062, Q02818, Q9ULQ1, Q9NRA2, P45973, O15118, Q13126, Q07065, P24390, Q13505, Q9UJG1, O43169, P11279, P54803, O60830, P43307, Q9UBV7, Q00325, Q96JB2, Q9BXP2, O94919, Q15035	80	3554	18279	1.67154614518852	0.4400807977484211	0.14300260578700114	0.13807148144951834
UP_TISSUE	Skin	16	20.0	0.008184710509695475	P24390, Q9Y277, O43772, P11766, Q14849, Q14739, P49590, O60637, Q86UE4, P63173, Q9UBV7, Q86XL3, P04062, P07686, P98160, P21796	80	1770	18279	2.0654237288135593	0.510807817581754	0.14300260578700114	0.13807148144951834
UP_TISSUE	Cervix carcinoma	33	41.25	0.00821854056247133	Q6NUK4, Q9Y320, O75844, Q9NSY1, Q15836, P45880, Q96KC8, P16615, Q9P0T7, O95772, P11166, O95197, Q9NS69, Q86UE4, P08183, P17152, Q92896, P45973, Q9H6H4, Q07065, O43169, Q9Y277, Q14739, P49590, Q99733, P15586, Q9NXV6, P43307, Q96K37, Q86XL3, Q96JB2, Q9BXP2, P21796	80	5022	18279	1.5014112903225805	0.5122573696077573	0.14300260578700114	0.13807148144951834
UP_TISSUE	Erythroleukemia	29	36.25	0.014910795816674968	Q6NUK4, Q9Y320, Q9NSY1, Q15836, P45880, Q96KC8, P11766, P16615, Q9P0T7, O95772, P11166, O95197, Q9NS69, Q86UE4, Q9NRA2, P45973, Q9H6H4, Q9Y277, O95249, Q14739, P49590, Q99733, P15586, Q9NXV6, P43307, Q86XL3, Q96JB2, Q9BXP2, P21796	80	4394	18279	1.5079967000455166	0.7293714054873894	0.21620653934178705	0.20875114143344956
UP_TISSUE	Umbilical cord blood	6	7.5	0.021342546217698426	Q96BY9, O60830, Q9Y277, O95249, Q02818, Q9P0T7	80	367	18279	3.735490463215259	0.8469365098430062	0.2652573601342519	0.2561105546123811
UP_TISSUE	Platelet	7	8.75	0.025583464196325633	Q86UE4, Q15836, P45880, Q96JB2, O95772, O94919, P21796	80	523	18279	3.0581500956022944	0.8950979097639127	0.27822017313504127	0.26862637406141915
UP_TISSUE	Thalamus	7	8.75	0.03046401208311896	O60830, P08183, P17152, Q9NRY6, P54803, Q9ULQ1, Q8TAC9	80	545	18279	2.934701834862385	0.9322261320696587	0.2944854501368166	0.2843307794424436
UP_TISSUE	Ovary	8	10.0	0.06823477966722502	Q8NBS9, Q96K37, Q9NSY1, O75844, Q00325, Q9P0T7, O60637, Q9H6H4	80	833	18279	2.194357743097239	0.9978636858237442	0.5746154767275623	0.5548011499438532
UP_TISSUE	Eye	9	11.25	0.07265253154026649	Q8WXW3, Q8NBS9, Q9Y320, Q7Z388, P45880, P16615, P00374, O95197	80	1019	18279	2.0180446516192347	0.998587147924272	0.5746154767275623	0.5548011499438532
