Annotation Cluster 1	Enrichment Score: 17.747108291586425
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	59	2.8978388998035363	2.674106160138036E-35	P62917, P62081, P62280, P63244, P62750, P62277, P47914, P62273, P62910, P46783, P83731, P62913, P62753, Q07020, P55039, P46782, P46781, P62244, P84098, P63173, P61353, P83881, P62241, P62888, P61313, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P49207, P61513, P62249, P61927, P62891, Q02878, P50914, P63220, P62899, P61247, P62857, P62979, P62851, P62854, P49591, P62906, P62829, P62266, P62861, P61254, Q02543, P62263, P62987, P62701, P62945, P62269, P62424	2003	90	19357	6.335291507183668	1.7574225684427172E-31	1.7574225684427172E-31	1.716508744192605E-31
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	52	2.5540275049115913	1.5569390833306383E-33	P62917, P62081, P62280, P62750, P62277, P47914, P62910, P46783, P83731, P62913, P62753, Q07020, P46782, P46781, P62244, P84098, P63173, P61353, P83881, P62241, P62888, P61313, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P49207, P61513, P62249, P61927, P62891, Q02878, P50914, P63220, P62899, P61247, P62979, P62851, P62906, P62829, P62266, P62861, P61254, Q02543, P62263, P62987, P62701, P62269, P62424	2027	76	20587	6.94910809337107	1.6534693064971378E-30	4.1336732662428445E-31	3.686053279785286E-31
GOTERM_BP_DIRECT	GO:0006412~translation	75	3.6836935166994107	5.5422290074783946E-21	P62917, Q12904, P62081, P62280, Q04637, P63244, P62750, P62277, P47914, P62273, P62910, P46783, P83731, Q13084, P62913, P62753, Q13765, P82912, Q07020, Q13405, P46782, P46781, P62244, P84098, Q05639, P63173, P61353, P68104, P83881, P62241, P62888, P61313, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P49207, P61513, P62249, P61927, P49366, P52815, P62891, Q02878, P50914, P63220, P62899, P61247, P47897, P62857, P62979, P62851, P62854, P49591, Q13542, P62906, P62829, P49590, P62266, P62861, P61254, Q02543, P62263, P62987, P62701, P46597, P62945, Q13155, Q13310, P62269, P82932, P62424	2003	221	19357	3.2796393644826876	3.642352903714801E-17	9.105882259287002E-18	8.893891999750954E-18
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	30	1.4734774066797642	1.6131473120991487E-18	P62081, P62280, P63244, P62277, P62273, P63220, P61247, P46783, P62857, P62979, P62851, P69905, P62753, P62854, P82912, P46782, P46781, P62244, P62266, P62861, P62263, P62241, P62987, P62701, P62847, P62841, P62269, P60866, P62249	2027	46	20587	6.623731794684798	1.7131624454492959E-15	1.713162445449296E-16	1.5276505045578938E-16
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	64	3.143418467583497	3.4105991257523917E-17	P62917, P62081, P62280, P62750, P62277, P47914, P62273, P62910, P46783, P83731, Q13084, P62913, P62753, P82912, Q07020, P51398, Q13405, P46782, P46781, P62244, P84098, P63173, P61353, P83881, P62241, P62888, P61313, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P49207, P61513, P62249, P61927, P52815, P62891, Q02878, P50914, P63220, P62899, P61247, P62857, P62979, P62851, P62854, P62906, P62829, P62266, P62861, P61254, Q02543, P62263, P82650, P62987, P62701, P62945, P82930, P62269, P82932, P62424	2018	190	18913	3.1569349538365237	6.394873360785734E-14	1.2789746721571469E-14	1.2407759619487201E-14
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	32	1.5717092337917484	1.565414891379586E-16	P61927, P62917, P62891, P62750, Q02878, P47914, P50914, P62899, P62910, P83731, P62913, Q07020, P62906, P62829, P51116, P84098, P63173, P61254, P61353, Q02543, P83881, P62888, P62987, P61313, P62945, P46777, P46776, P46779, P62424, P46778, P49207, P61513	2027	59	20587	5.508549831511878	1.1790568521519162E-13	1.2788235497270155E-14	1.1403445401049752E-14
GOTERM_CC_DIRECT	GO:0005840~ribosome	56	2.75049115913556	5.984141498977975E-16	P62917, P62081, P62280, P62750, P62277, P47914, P62273, P62910, P46783, P83731, Q13084, P62913, P62753, P82912, Q07020, P51398, Q13405, P46782, P46781, P62244, P63173, P61353, P83881, P62241, P61313, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P61513, P62249, P61927, Q02878, P50914, P63220, P62899, P61247, P62857, P62979, P62851, P62854, P62906, P62829, P51812, P62266, P62861, Q02543, P62263, P82650, P62987, P62701, P62945, P62269	2027	171	20587	3.3260688310152124	5.895284260759581E-13	4.236772181276406E-14	3.7779879996880945E-14
GOTERM_CC_DIRECT	GO:0042788~polysomal ribosome	23	1.1296660117878194	1.5781493629249013E-15	Q07020, P62906, P62917, Q08211, P51843, P62891, Q02878, P62266, P84098, P63173, Q02543, P62273, P83881, P63220, P62888, P62899, P62910, P83731, P62857, P62945, P62913, P62424, P62854	2027	32	20587	7.299904415392206	1.6506795930126827E-12	1.0474966396414032E-13	9.340671541811759E-14
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	91	4.469548133595285	2.6092922430191725E-15	P52597, P52272, P62917, Q06787, P62081, P62280, P57721, Q07352, P63244, P62750, P62277, P62310, P47914, P63162, P62273, P62910, P62316, P46783, P49458, P83731, P62318, Q13084, P62913, P62312, P62753, P62314, Q00839, P51991, P82912, Q07020, P51398, P55795, Q13405, P46782, P46781, Q13601, P62244, P84098, P63173, P61353, P83881, P62241, P62888, P61313, P83369, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P49207, P61513, P62249, P61927, P52815, P55769, P62891, Q02878, P50914, P63220, P62899, P47974, P61247, P62857, P62979, P62851, P62854, P62906, P62829, P51812, P62266, P62861, P61254, Q02543, P61011, P62263, P82650, P62987, P62701, Q13151, P62306, P62945, P62308, P82930, P61978, P62269, P82932, P62424, P62304	1484	306	11735	2.3516309039339007	2.957634137601417E-13	2.8963143897512816E-13	2.583199320588981E-13
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	66	3.2416502946954813	1.966070761521159E-14	P62917, P62081, P62280, P63244, P62750, P62277, P47914, P62273, P62910, P46783, P83731, Q13084, P62913, P62753, P82912, Q07020, P51398, Q13405, P46782, P46781, P62244, P84098, P63173, P61353, P83881, P62241, P62888, P61313, P62847, P46777, P46776, P62841, P60866, P46779, P46778, P49207, P61513, P62249, P61927, P52815, P62891, Q02878, P50914, P63220, P62899, P61247, P62857, P62979, P62851, P62854, P62906, P62829, P51812, P62266, P62861, P61254, Q02543, P62263, P82650, P62987, P62701, P62945, P82930, P62269, P82932, P62424	1484	193	11735	2.704181389047945	2.181255176481045E-12	1.0911692726442432E-12	9.732050269529736E-13
