Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04142:Lysosome	8	10.0	3.2733416078389284E-6	P15586, P04062, O00462, P11279, P54803, P07686, Q9NRA2, O15118	43	132	8465	11.93093727977449	2.912854480631166E-4	2.0779670249143842E-4	2.0546190808142228E-4
KEGG_PATHWAY	hsa04979:Cholesterol metabolism	6	7.5	4.669588820032324E-6	Q9Y277, P45880, Q14849, Q6PIU2, P21796, O15118	43	51	8465	23.160054719562243	4.155080279334422E-4	2.0779670249143842E-4	2.0546190808142228E-4
KEGG_PATHWAY	hsa00511:Other glycan degradation	3	3.75	0.003496576406599624	P04062, O00462, P07686	43	18	8465	32.810077519379846	0.26782859370280987	0.10373176672912218	0.10256624126025564
KEGG_PATHWAY	hsa05415:Diabetic cardiomyopathy	5	6.25	0.017648498777585585	Q9Y277, P45880, P16615, P11166, P21796	43	203	8465	4.848779928972391	0.7949993339020466	0.39267909780127924	0.38826697310688285
KEGG_PATHWAY	hsa00600:Sphingolipid metabolism	3	3.75	0.028231030376389698	P04062, P54803, P07686	43	53	8465	11.14304519526108	0.9218175251072229	0.4465927953016317	0.44157489872520883
KEGG_PATHWAY	hsa05017:Spinocerebellar ataxia	4	5.0	0.03355193328683341	Q9Y277, P45880, P16615, P21796	43	143	8465	5.506586436818995	0.9520389783400683	0.4465927953016317	0.44157489872520883
KEGG_PATHWAY	hsa04020:Calcium signaling pathway	5	6.25	0.035882244835206314	Q9Y277, P45880, P16615, Q9ULQ1, P21796	43	253	8465	3.8905230260134203	0.9613119180460906	0.4465927953016317	0.44157489872520883
KEGG_PATHWAY	hsa05010:Alzheimer disease	6	7.5	0.04014317261138262	Q9Y277, P45880, P16615, Q8N1S5, P21796, O95197	43	384	8465	3.07594476744186	0.9739159639233875	0.4465927953016317	0.44157489872520883
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	4	5.0	0.04942599533424512	Q9Y277, P45880, P16615, P21796	43	167	8465	4.715220721348001	0.9890163147461837	0.4863128632419982	0.480848673767369
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	4	5.0	0.05464189474629193	Q07065, P43307, Q8NBS9, Q96KC8	43	174	8465	4.525527933707565	0.9932690659516915	0.4863128632419982	0.480848673767369
KEGG_PATHWAY	hsa04976:Bile secretion	3	3.75	0.07178978909456708	P08183, P11166, Q6PIU2	43	89	8465	6.635746015155474	0.9986801505228202	0.5808446572196792	0.5743183127565367
KEGG_PATHWAY	hsa00531:Glycosaminoglycan degradation	2	2.5	0.09026874247031491	P15586, P07686	43	19	8465	20.722154222766218	0.9997795716720002	0.6165330052869464	0.609605668148891
KEGG_PATHWAY	hsa00670:One carbon pool by folate	2	2.5	0.0947926251155867	Q86XF0, P00374	43	20	8465	19.686046511627907	0.9998585576583102	0.6165330052869464	0.609605668148891
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	4	5.0	0.0969827199327781	Q9Y277, P45880, P11166, P21796	43	222	8465	3.5470354075005237	0.9998859882975816	0.6165330052869464	0.609605668148891
