Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	37	90.2439024390244	4.116223390621441E-5	P98175, Q9Y287, Q14108, P30825, O43772, O00560, P55209, P52756, P55327, P08183, Q9BSA4, Q8NHP8, P04066, P02786, Q01628, O15118, P06865, P11717, Q13126, Q9UIQ6, Q9UM22, Q9UHG3, Q12999, P50281, P46100, P51790, Q99733, Q9NPR9, P13164, Q9UBR2, P42892, P05067, P07204, P21796, P01023, Q15012, P10909	39	12648	18945	1.421051671288863	0.006400867261178278	0.0064213084893694474	0.00625665955374459
GOTERM_MF_DIRECT	GO:0001618~virus receptor activity	4	9.75609756097561	5.10547751702938E-4	Q14108, P30825, P02786, O15118	39	78	18945	24.911242603550296	0.07657508511454947	0.03982272463282917	0.03880162912942329
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	4	9.75609756097561	0.001349861370727146	Q14108, P02786, P05067, P10909	39	109	18945	17.826393789696542	0.18999967304640564	0.07019279127781158	0.06839297611684206
GOTERM_MF_DIRECT	GO:0015485~cholesterol binding	3	7.317073170731707	0.005249478265600876	Q14108, P21796, O15118	39	54	18945	26.987179487179485	0.5600418231560476	0.20472965235843416	0.19948017409283328
GOTERM_MF_DIRECT	GO:0072320~volume-sensitive chloride channel activity	2	4.878048780487805	0.007999749349408487	P51790, Q9BSA4	39	4	18945	242.8846153846154	0.714347536012364	0.22263272315840785	0.21692419179537178
GOTERM_MF_DIRECT	GO:0000064~L-ornithine transmembrane transporter activity	2	4.878048780487805	0.009989929885313173	P30825, P52569	39	5	18945	194.3076923076923	0.7911764402455471	0.22263272315840785	0.21692419179537178
GOTERM_MF_DIRECT	GO:0015181~arginine transmembrane transporter activity	2	4.878048780487805	0.009989929885313173	P30825, P52569	39	5	18945	194.3076923076923	0.7911764402455471	0.22263272315840785	0.21692419179537178
GOTERM_MF_DIRECT	GO:0015189~L-lysine transmembrane transporter activity	2	4.878048780487805	0.013958634669634224	P30825, P52569	39	7	18945	138.7912087912088	0.88840596991381	0.27219337605786736	0.26521405872305026
GOTERM_MF_DIRECT	GO:0015174~basic amino acid transmembrane transporter activity	2	4.878048780487805	0.017911846938460887	P30825, P52569	39	9	18945	107.94871794871794	0.9403687848424247	0.3104720135999887	0.30251119273845056
GOTERM_MF_DIRECT	GO:0061459~L-arginine transmembrane transporter activity	2	4.878048780487805	0.023812745549852694	P30825, P52569	39	12	18945	80.96153846153845	0.9767100396376248	0.37147883057770203	0.36195373235776096
GOTERM_MF_DIRECT	GO:0046982~protein heterodimerization activity	4	9.75609756097561	0.03870048846079133	P06865, O00560, P05067, P10909	39	374	18945	5.195392842451666	0.9978818311585347	0.4710525486627263	0.4589742781841948
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	4	9.75609756097561	0.04026925349868196	P11717, Q14108, P05067, P01023	39	380	18945	5.113360323886639	0.9983582474434675	0.4710525486627263	0.4589742781841948
GOTERM_MF_DIRECT	GO:0050750~low-density lipoprotein particle receptor binding	2	4.878048780487805	0.048986831014147754	P05067, P10909	39	25	18945	38.86153846153846	0.9996045434219905	0.4710525486627263	0.4589742781841948
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	8	19.51219512195122	0.050202880931270365	P11717, P98175, Q9UM22, O00560, P02786, P05067, P21796, P01023	39	1704	18945	2.2806067172264357	0.9996760990072636	0.4710525486627263	0.4589742781841948
